Genes,Value1,Value2
4930573I19Rik,6.865948066,-0.934912049
Pdc,6.860968681,-0.26133504
Csrp2,6.832812252,-1.487168678
Atp6v1g1,6.830101337,-1.072775624
Prdx1,6.81632141,2.329877689
Epha7,6.778171209,-0.98132962
Dhx9,6.771650643,3.759755979
Glb1,6.765072426,0.027658913
Hsp90b1,6.757656429,4.436341467
Tmed9,6.743643227,1.932050159
Thbs1,6.733541713,-0.902959786
Pon3,6.696513866,3.819381149
Tram1,6.694434985,0.651484423
Aprt,6.680697145,4.676804907
Vamp8,6.648580624,-0.879807539
Nipsnap1,6.642606455,9.383908593
Plod3,6.635974955,1.514874183
Snx2,6.628596011,-2.892678805
Gns,6.625155007,1.140547045
Ndufs3,6.602909042,1.434135516
Ccr5,6.59892373,7.473166006
Fbp2,6.588371613,-0.781438924
Asna1,6.562838869,-0.615276745
Hdc,6.534955236,-3.214132461
Abr,6.530928808,-0.943878528
Tbxas1,6.528006645,-3.644833752
Prdx4,6.510107866,11.25768404
Hoxd10,6.503369642,0.277204597
Ctsk,6.471058287,6.872958671
Sfn,6.425402379,1.637728758
Tmed2,6.418474831,8.666813969
Chmp7,6.401889592,1.91899448
Tpm4,6.393508216,-0.811889606
Man1a,6.390385063,0.139831634
Hal,6.379589543,0.015664204
Cyb5b,6.367366767,2.687167935
Tufm,6.334563688,6.48059056
Hdac6,6.334072461,-0.803879482
Galnt2,6.330447676,1.017950892
Mrpl40,6.308727436,3.674504793
Dscr2,6.302076335,3.288337603
Mcm2,6.2970727,3.728814454
Pla2g5,6.293627642,-6.888984849
Eif2s1,6.276985519,5.717209301
Armet,6.249300967,2.603688384
Rrbp1,6.247573395,3.743033374
Atp6ap1,6.243257157,-1.251131735
Faah,6.242933583,1.924805017
Myc,6.235651206,0.319088801
Stk39,6.2335711,13.5496174
Etv1,6.207059054,-3.279275749
Cks2,6.198239106,1.956556548
Adfp,6.196843104,-1.482624241
Acp2,6.178819258,0.648192692
Polr2g,6.14526145,0.968213037
Pin1,6.142232261,-3.958091585
Coasy,6.095517716,7.83125598
Pdpk1,6.091248292,-0.019269815
Mtdh,6.082036184,2.667366694
Il4ra,6.081837692,-3.551933092
Cfl1,6.06468048,0.434032705
D15Mgi27,6.06173434,1.152797492
Ndufs2,6.056916837,0.919761535
Nme6,6.053231351,0.433585237
Sox4,6.048822991,18.88288189
Clpp,6.03699005,0.010298903
Wfdc2,6.031045823,13.09103508
Gif,6.021789121,0.668324561
Capn5,6.013046057,2.162855268
Xrcc5,5.965580323,3.355165508
Capg,5.964740822,-0.575402595
Eif2b1,5.949097195,0.387341049
Tacstd1,5.936983629,22.71925205
Cybb,5.899211274,-1.4714811
Nr2f6,5.891812803,7.725731384
Sec63,5.885902883,0.524621305
Cul1,5.861527357,-0.042909109
Rfk,5.860311897,1.053066417
Slc12a1,5.854870349,0.174938474
Ndufv1,5.853677297,0.884284348
Pprc1,5.846359389,-0.10778096
Nfkb2,5.805606678,-2.961179416
Fcer1g,5.780777222,-5.507116228
Pigq,5.776407183,0.152971609
St3gal5,5.775079176,0.904206605
Guca2b,5.773512691,0.73935906
Oxct1,5.759711472,1.083984295
Lama5,5.745826618,0.129089806
Dnajc4,5.733741345,4.267396244
Hprt1,5.725723622,8.129843308
Dctn2,5.718667126,-0.58181362
Irs2,5.687329629,1.472745142
Tbp,5.677494503,0.481235627
Psmb5,5.673461731,4.682058431
Syngr2,5.66051312,1.566287109
Galc,5.646824097,-2.604206536
Lyst,5.618001643,-2.371796934
Ssna1,5.611144599,-0.360448909
Dhrs7,5.55494417,2.277437176
Ndufa9,5.545534294,2.949367897
Vac14,5.532442937,2.21264765
Aass,5.517699197,-0.090405452
Usp37,5.470637774,4.027133077
Tnfrsf1b,5.454226823,-6.078485557
Rhog,5.446675543,-2.780225339
Fgfr2,5.411583741,-3.164198559
Prkar1b,5.408398401,2.924671813
Csf2,5.374268823,1.194232857
Serpind1,5.373995554,-0.780052315
Chga,5.367930225,0.102867516
Hoxd1,5.366228621,2.486834096
Necap1,5.362515291,1.564050246
Rpl19,5.355972152,4.390481256
Itgb4bp,5.352424725,3.957316875
Cebpg,5.332716572,1.669695829
Dctn3,5.324358886,-3.175555094
Psma2,5.321711996,3.566450896
Arih2,5.318108461,-1.089197927
5730469M10Rik,5.317367536,1.287098858
Mtr,5.314688619,0.142979231
Arhgef2,5.302899801,-5.309572835
Sfpi1,5.29916297,-4.251889335
Adora1,5.285760911,-0.408719482
Gga2,5.276538048,-0.377636368
Adora2b,5.264579446,2.876591466
Trip6,5.254717265,0.518944807
Sec14l2,5.253530605,0.130884131
Yipf3,5.212859651,0.930375306
Hspe1,5.210332108,9.691965357
Rabggtb,5.209654514,1.118311085
Cdc123,5.207388451,3.071828924
Itih1,5.197901524,1.057679991
Bckdha,5.183000416,-0.143896234
Rfc3,5.180365729,3.677914607
Xpnpep1,5.179567045,-0.823134189
Gsk3a,5.179153703,2.094010819
Atp6v1e1,5.177826592,-2.335294564
Ly75,5.160530416,2.128706766
Npas1,5.15685037,-1.027049731
Hoxd13,5.148986704,1.307026413
Il12rb1,5.143917785,-0.648808842
Kcnd3,5.135742788,5.224062098
Ptprj,5.122594987,0.980440359
Pfdn1,5.114555301,-0.041727215
Pglyrp1,5.107699058,0.006230042
Arfip2,5.096216226,1.580523181
Hip2,5.079692134,5.95902021
Itih4,5.068584968,-0.282724989
Rag2,5.053972182,-2.260960376
Pex14,5.02845752,-0.853863056
Calr,5.02163665,1.5483326
Sos2,5.01909896,-0.47578753
Akr7a5,5.016023828,0.999676973
Gabarap,4.990932027,-2.936301475
Mybpc3,4.973015816,1.354042246
Tpp1,4.968272606,-2.549861225
Stard3,4.968262652,0.202069791
Rps6ka4,4.962945317,-0.176259677
Lhx1,4.962431908,0.851831025
Plaur,4.959087312,1.633279839
Bmp1,4.958210087,0.719498783
Gsr,4.944666208,4.463479542
D19Ertd721e,4.923127481,-0.498129794
Eif4b,4.918901486,-0.150314513
Bcat2,4.916098799,1.232198675
Tgfb1,4.913800432,-1.880304273
Traf4,4.911061544,9.88586877
Jmjd1a,4.910673852,0.693858893
Zfp110,4.909365662,0.202841863
Itih2,4.880069665,0.329110726
Lsm1,4.876567557,0.136380444
Arg1,4.872301971,-0.238381131
Mdh2,4.869583125,0.587356894
Polb,4.820156209,5.783655098
Tspan8,4.819946667,5.373983033
Rhod,4.800176735,-0.204035089
Pnrc1,4.792875667,-1.391517462
Cpn1,4.791471211,-0.277488444
Cct5,4.787970946,11.11109855
Tnfrsf9,4.783314494,3.153958678
Rbp4,4.780089369,-3.028443649
2210010A19Rik,4.77641637,8.979172389
Marco,4.770335748,-7.523130753
Mvd,4.769488055,-0.602422982
Smarcc1,4.764675014,3.415075116
Etv4,4.755580354,1.869459666
Eif2b5,4.735645893,1.408123834
Fmnl1,4.731473183,-4.688517287
Hrg,4.710064073,-2.0418949
Lamp1,4.674310708,-2.429074785
P2rxl1,4.661024307,0.771472998
Rdbp,4.65779879,1.698879533
Ptp4a1,4.63787524,6.492916648
Spr,4.634394771,5.357246484
Il4,4.631628189,1.75042146
Prpf6,4.630363507,2.451871225
Dgcr6,4.622421515,1.175850025
Pcgf2,4.597290252,0.539455246
Ccr1,4.590884926,-2.16862956
Bak1,4.582614062,0.968223012
Kif11,4.566808983,5.454190166
Laptm5,4.565821654,-6.811725911
Pkp3,4.553494603,8.829125143
