PG.ProteinGroups,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4
Q76FK4,12770.27441,12471.88867,12903.33789,12114.36523,14215.37891,12093.97852,12559.68359,9999.835938,29287.51953,28100.11914,29246.26758,22730.45508
Q7KZ85,35307.57422,35445.83203,37199.39063,35787.55078,37245.16797,36814.09766,36233.39844,36781.14063,46064.13281,43406.55469,46095.30469,42184.46875
Q7KZF4,60469.80078,59530.25391,59500.57422,60272.46484,52246.19141,54568.94922,52889.71484,50676.78906,9442.915039,8840.506836,14630.49707,13423.39941
Q7KZI7,32675.75586,30602.16211,27631.03906,30359.19727,17538.09375,24736.27734,25613.46484,23614.05859,35181.19531,38363.33594,38676.14453,39159.07813
Q7L014,64151.51563,62393.26172,64058.57031,64446.15234,65876.38281,63913.79688,67251.47656,65292.84766,40793.80469,39102.15234,42179.39453,41282.43359
Q7L0Y3,6795.314453,5606.32959,5679.727051,4245.425781,6266.476074,4261.591797,7471.955078,3227.115479,22464.80078,22469.66406,19528.84375,21146.32031
Q7L1Q6,51263.76953,50468.56641,54980.91016,55718.70703,47821.31641,48549.55469,50765.92188,50502.09375,913631.3125,863351.9375,42386.89844,717476.0625
Q7L273,2668.597168,2689.432129,29919.13477,4271.410156,2893.804443,8332.582031,35125.05469,5619.245605,17310.52148,16525.13477,16792.2207,18743.45117
Q7L2H7,29408.86719,31143.17578,38112.41797,45460.25781,25459.30078,37154.12109,36922.78516,39690.42188,42486.88672,42338.28125,42447.0625,43006.28125
Q7L2J0,26211.86914,23076.81445,23489.98242,23012.81836,25378.77539,22127.29883,20454.35156,19406.64844,23628.59961,23393.14063,19979.91602,22071.93945
Q7L2R6,5134.787109,5840.568359,5812.518066,5409.052246,10675.12598,3549.919434,3273.498047,7316.54541,26110.63281,20203.41992,30448.04297,22317.03516
Q7L4I2,21635.38086,16221.66699,16939.57617,16474.47461,21098.22461,13348.99414,14846.41113,13653.99512,32247.42188,33456.53906,33406.53125,19710.47461
Q7L576,22143.03125,24928.77344,22009.33398,23043.49219,19718.71484,23300.5,21902.24414,21622.29883,23230.47852,22598.16016,22473.50195,18619.51367
Q7L590,16539.86914,7159.766602,15339.5498,16322.87793,17453.80469,21655.60938,15683.08594,11784.09082,72844.88281,82039.98438,85342.23438,84469.25
Q7L5N1,25950.79297,23473.23047,22426.9043,23417.32422,25400.44922,21193.9375,21329.31836,22149.1543,72594.86719,73279.07031,72363.99219,78351.875
Q7L5Y9,10806.62695,8652.729492,7754.484375,9042.079102,12161.67969,8835.166016,11744.22852,6565.913574,19524.54102,19782.61133,18770.93164,21049.50781
Q7L775,23820.24023,18135.06836,19449.88672,20433.62891,21204.51758,19052.88672,18242.4707,14889.32422,24532.35156,23756.73633,23952.44336,25660.07813
Q7L7X3,4114.852051,5342.178223,4501.95459,7123.135742,3683.763672,1717.409058,2621.825439,1592.685425,27286.00391,26327.69336,26401.90234,25130.51367
Q7L9L4,92175.47656,84653.48438,83610.10156,89085.125,82797.375,77607.29688,88403.72656,87392.17188,34369.85938,34204.34375,34395.46875,35554.59375
Q7LBC6,30551.19727,29655.94922,29499.69336,29431.38867,30376.39844,30210.18945,29028.93945,28992.83984,42492.52344,48440.41797,56061.48828,47600.32422
Q7LBR1,50961.71875,51697.64844,48825.73047,54695.65234,49631.33984,47485.11328,39659.08203,46891.34766,31406.83594,29266.67188,27048.15234,28147.65625
Q7RTP6,33852.96484,28431.32031,29886.67188,28630.34961,35842.12891,29654.04297,25831.44531,20978.44727,64849.74219,66121.76563,65968.45313,73465.45313
Q7RTV0,132374.8125,127718.5313,132998.4688,133813.0938,129931.6016,116843.3906,121764.1094,124409.7891,13189.19434,11845.19531,10758.49316,14416.04297
Q7Z2E3,27069.17188,29423.11328,29023.79688,28050.82813,30614.50391,30256.84766,30222.25391,29772.38477,42932.76563,41651.55469,42020.53906,39788.34375
Q7Z2T5,25930.09961,26327.24805,24803.93945,24045.93555,24488.34375,25248.5918,24364.50586,24205.04492,16722.75781,13179.78125,9007.214844,9637.485352
Q7Z2W4,35857.28516,37768.92969,36148.28906,34746.64844,35528.47656,35805.76172,35471.01563,36766.56641,26510.24609,23966.96875,26481.96289,24582.92969
Q7Z2Z2,8733.052734,12260.99121,8835.652344,12420.89941,10210.05664,8078.061035,7229.717773,9237.745117,26209.31641,27053.48242,29735.04297,36647.44922
Q7Z333,12968.91211,13951.04785,12241.58301,12206.17871,12751.83398,14733.74609,13923.50293,12199.83789,30240.60742,32252.28906,32188.94531,32353.87891
Q7Z340,28172.78711,17366.85547,25020.66797,16914.88281,17202.87109,16128.33398,17618.60156,20676.47852,30635.37109,31031.65039,28729.57617,30199.69336
Q7Z392,13756.74512,10924.93652,9345.145508,7704.458984,12492.16895,8876.838867,8182.5625,8686.208008,31329.73047,32381.55859,35496.44531,33400.54688
Q7Z3B3,47521.74219,61785.48047,61945.66406,66023.08594,53821.75781,56814.625,44780.82031,55945.38672,17294.95703,17392.87109,20222.20508,18371.53711
Q7Z3B4,62284.86328,57212.15234,61552.50781,63431.53516,62483.89844,54755.82813,57944.35156,61697.23047,31263.68164,33171.67188,32170.22266,34891.46094
Q7Z3E5,8068.144531,11030.71094,9656.373047,13224.74316,15776.08105,13371.12598,14652.09375,15569.42871,18545.98047,19689.00586,17080.75391,18398.82227
Q7Z3K3,30281.24414,30336.08594,30207.22461,33475.33594,32027.67188,32640,33513.75391,33423.01172,19443.86914,15862.43555,17037.56445,19952.79883
Q7Z3T8,25052.52148,22505.98438,24376.63867,25690.75781,28207.58984,26669.70898,24992.28711,27618.66797,13311.03027,12382.58105,14863.15039,10821.4502
Q7Z3U7,18586.49023,20916.51367,19411.87109,21617.97266,19254.23438,21716.8418,18091.70117,19794.47656,51423.74609,21848.04297,18888.21094,20432.78906
Q7Z406,25034.30469,25430.02539,24376.41797,25535.99805,28371.68555,27918.12305,27189.02539,26922.44727,104515.4063,110922.0938,106983.8594,102600.9844
Q7Z417,15142.09473,15132.26172,14140.96777,13691.20313,14118.00586,13114.88965,9173.597656,11546.45508,31857.66406,27547.73828,28374.81836,25424.99805
Q7Z422,70133.97656,63198.57813,57312.62109,67566.04688,72265.35938,67028.27344,69927.79688,67379.3125,30124.39648,29475.57422,30843.03906,26354.23633
Q7Z460,26449.94141,25384.18945,24582.17969,24046.57617,24799.71484,25800.73828,24821.44336,21347.86328,15286.2334,15898.18945,15868.68164,15579.4248
Q7Z478,20378.4707,18736.58203,20846.67578,18918.61914,18020.74219,17542.12109,17810.65234,18593.4082,21468.51367,8245.462891,13338.86426,5896.763672
Q7Z4H7,29566.44531,27026.69922,24611.14648,23116.98828,24011.83008,23230.48633,22696.21289,22302.47461,24661.69727,25214.19727,25176.56836,25162.44336
Q7Z4Q2,42369.67188,40358.80078,40811.43359,40974.05469,47798.03516,43717.14063,45264.02734,44681.28125,21355.13867,22611.5293,27339.0957,24167.42383
Q7Z4S6,47359.35938,47767.53125,47618.67578,48049.60156,46177.83984,45452.58594,44695,46159.78516,17547.35742,14869.26563,15618.7041,23242.66406
Q7Z4V5,83366.59375,79817.89063,78301.92188,78416.61719,86754.3125,72723.78125,77725.34375,73969.11719,6852.651855,6533.993164,8238.728516,10008.58008
Q7Z4W1,33650.60156,32934.50391,33339.17969,35349.23828,35629.16406,32797.69531,27883.30664,24862.16406,55737.85938,54851.4375,59187.49219,55022.90625
Q7Z569,25120.42773,29422.52734,25630.05664,24439.40625,20694.99805,27230.02148,28297.85156,21151.30469,22735.54492,23096.08594,20269.36719,19243.14844
Q7Z589,27586.8125,25304.27344,23143.87695,25823.27539,22664.54297,27830.23242,25288.05664,21847.35547,45257.06641,46213.69922,47963.76953,48323.3125
Q7Z5H4,86917.1875,79753.82031,89599.71094,91445.26563,54415.51563,57213.66406,61153.72266,64689.66797,35107.0625,34388.57813,34503.04688,32845.46484
Q7Z5J4,27986.32617,29351.94141,26977.375,28277.97852,28195.6582,29216.70313,27999.17578,25793.01172,14145.95898,5270.655273,18963.96094,20397.53125
Q7Z5K2,30654.56445,29968.83398,29646.25,29103.2168,30597.32422,29022.66211,29052.46875,29295.17578,51246.55469,30860.87305,35460.07813,57073.56641
Q7Z5L9,79548.89063,77460.91406,80581.35938,80681.84375,86500.59375,79853.11719,80937.60156,84527.75,32643.98828,33672.32813,31012.14063,38922.04297
Q7Z6B0,12797.14355,13092.05371,10394.38379,10726.55957,9601.269531,10683.85059,11291.15723,11865.93359,22528.04297,18751.57617,21174.72461,18048.53906
Q7Z6B7,13923.32617,14736.77539,12254.44824,15525.69727,11177.87402,10807.42871,10208.41406,9304.77832,12824.96387,11808.57617,16533.58398,18709.13672
Q7Z6E9,21769.8418,22674.16992,21915.77344,24142.40234,22951.43164,23850.70313,23543.64648,23330.86719,13904.61719,11628.27637,7902.885742,8722.067383
Q7Z6G8,665973.25,398423.1875,521026.5,744370.5,934470.125,126371.8125,116785.5078,180696.7656,17074.75977,16855.125,22872.66016,16849.06836
Q7Z6I8,42416.81641,40752.86719,39900.24219,40491.98047,31701.87305,35009.05078,44403.19141,43049.77344,35945.37109,33382.00391,32860.60938,34900.91016
Q7Z6J9,16519.58203,16324.73828,13596.87695,14286.10254,14926.27051,13806.35254,11435.60156,9203.958008,29621.44922,29654.95703,30324.97656,33255.15234
Q7Z6K5,31443.94727,31775.76563,30719.91211,28358.35742,34472.03125,26705.63086,25725.0332,23806.78711,175754.8438,83058.01563,239817.2656,107844.3438
Q7Z6M1,18970.33594,12675.97168,13198.16797,14776.20801,9721.322266,7343.39209,11444.11914,7195.151367,23913.73047,15214.99512,22849.66406,21005.64453
Q7Z6R9,124262.2031,112694.6172,118664.75,135280.3125,160680.375,155008.7188,164275.3594,170912,293157.25,342520.3438,346987.0938,417642.4375
Q7Z6V5,7010.658203,13557.38574,9413.605469,10688.73047,7952.129883,8774.667969,9231.993164,7132.164551,33528.33203,27893.41211,33096.49609,36339.10156
Q7Z6Z7,30438.12891,30230.69727,30498.07813,30023.98242,27507.73438,27311.39258,26440.55664,27089.91211,32638.83008,32170.02148,29830.04688,41761.75781
Q7Z739,26118.01172,27061.08203,26403.03711,24233.1875,24708.14648,22067.24805,21299.62695,19038.87891,31641.29102,30768.05664,33584.59766,27933.78125
Q7Z7C8,49123.17188,37976.36719,41919.31641,38203.08984,48424.375,35428.57813,35434.86328,36406.05469,23344.21484,19690.66797,29682.91016,23949.76172
Q7Z7F0,42474.6875,36028.98047,39405.82813,41808.10156,42808.76953,37943.76953,37558.60547,38371.91797,9830.0625,6272.675293,4257.393066,8560.874023
Q7Z7K6,48840.41406,46019.58984,47450.27734,46851.18359,49406.89063,43465.47266,45217.19141,47397.52344,33525.92578,34075.48047,36642.12109,26908.3457
Q86SQ0,21695.99219,17531.96875,20825.57422,19656.0957,23526.33789,19852.32422,21201.25391,19849.71094,45148.80469,42859.82813,35714.02734,33563.00391
Q86T24,63044.96094,69756.90625,62670.72656,73868.13281,61953.33594,68865.375,66333.8125,77768.9375,32969.67188,31444.19141,32442.12305,29027.58203
Q86TB9,22678.59961,22676.72656,33202.51563,32412.31836,25501.29688,29389.06836,15304.67285,22814.20703,28847.92383,25347.77734,28046.34375,26156.01367
Q86TG7,35436.03906,29287.51953,28100.11914,29246.26758,22730.45508,27537.08594,25807.53906,28325.96289,42602.95703,41967.38281,44958.88281,52459.21094
Q86TI2,44642.61719,46064.13281,43406.55469,46095.30469,42184.46875,43953.04297,45075.72266,46669.80469,43952.74219,44933.48047,42502.39453,50386.66406
Q86U06,10841.1709,9442.915039,8840.506836,14630.49707,13423.39941,10667.58691,9142.019531,7646.969238,26595.88477,27583.58984,26237.91602,26163.50195
Q86U38,41463.73047,35181.19531,38363.33594,38676.14453,39159.07813,35294.52344,35407.375,36503.19141,23664.52148,25034.3418,24119.45508,24001.50781
Q86U42,38228.73047,40793.80469,39102.15234,42179.39453,41282.43359,39246.03516,39530.39063,39354.0625,15531.77344,14908.75879,16138.35742,12408.01465
Q86U44,20746.34961,22464.80078,22469.66406,19528.84375,21146.32031,22481.55273,21079.53125,22871.83984,19722.84766,19738.43164,23720.24219,25172.02148
Q86U70,53532.54297,913631.3125,863351.9375,42386.89844,717476.0625,133596.1563,876241.875,45405.60547,397299.2813,21130.47852,364622.8438,17020.89648
Q86U86,15913.71875,17310.52148,16525.13477,16792.2207,18743.45117,16637.05273,17168.45508,16918.48047,16781.00586,18481.5957,16918.04297,17882.52734
Q86UA1,49799.62109,42486.88672,42338.28125,42447.0625,43006.28125,22536.00195,28092.88281,29039.25977,27098.95117,25753.64453,25836.09961,26301.00391
Q86UE4,23128.3457,23628.59961,23393.14063,19979.91602,22071.93945,16889.79102,16676.375,16708.72266,19665.46094,17959.6582,24020.0918,14312.37109
Q86UE8,24534.46875,26110.63281,20203.41992,30448.04297,22317.03516,23150.01953,30221.8457,25386.05859,30363.52148,29209.30273,28196.10156,27834.79492
Q86UK7,35273.25391,32247.42188,33456.53906,33406.53125,19710.47461,29570.63281,29258.46289,28723.94922,11308.48145,10889.28906,13477.40332,11130.48242
Q86UP2,22076.64648,23230.47852,22598.16016,22473.50195,18619.51367,20327.11523,18730.35742,20083.48828,35299.74609,34144.5625,27938.24414,31184.54102
Q86UT8,68434.07813,72844.88281,82039.98438,85342.23438,84469.25,78498.44531,70297.25,88051.50781,15922.83496,17456.09766,20790.82422,19996.42969
Q86UU0,72535.96094,72594.86719,73279.07031,72363.99219,78351.875,80036.78125,76840.08594,75170.07813,13211.63086,10785.54102,11063.78027,12921.5332
Q86UU1,20254.54492,19524.54102,19782.61133,18770.93164,21049.50781,20937.13281,20409.51563,20840.01953,43544.64453,42887.13672,42909.24219,44184.71094
Q86UV5,24718.63086,24532.35156,23756.73633,23952.44336,25660.07813,26373.83008,25946.87695,25440.86523,23126.99805,25001.68945,23235.0332,22367.59961
Q86V21,26236.21289,27286.00391,26327.69336,26401.90234,25130.51367,22724.58789,20176.37109,23396.26563,32324.76172,31209.64258,32728.4043,39589.39063
Q86V48,34496.64063,34369.85938,34204.34375,34395.46875,35554.59375,33349.57422,32396.73438,32972.77344,23648.15039,23711.93164,23436.85938,24110.79492
Q86V81,50952.23047,42492.52344,48440.41797,56061.48828,47600.32422,41903.72656,43411.49609,50481.63672,21736.0957,26535.60742,26296.33203,28925.84766
Q86VI3,26621.6543,31406.83594,29266.67188,27048.15234,28147.65625,30540.63281,30247.74414,35589.75391,60792.89844,47651.10156,50847.79297,26297.9082
Q86VM9,68107.88281,64849.74219,66121.76563,65968.45313,73465.45313,68125.27344,66956.35938,67276.69531,59551.91797,60926.625,61622.21875,63923.09375
Q86VN1,15001.37109,13189.19434,11845.19531,10758.49316,14416.04297,10127.08984,8006.84082,8232.746094,27582.00781,26207.67578,26212.79492,23828.41016
Q86VP6,42799.53516,42932.76563,41651.55469,42020.53906,39788.34375,41873.28906,41268.04297,41063.9375,5425.460449,5853.625,4568.56543,4726.785645
Q86VS8,14969.54395,16722.75781,13179.78125,9007.214844,9637.485352,14696.62695,12123.49023,7499.15918,36478.08594,36735.44531,40797.64453,38986.01563
Q86W42,26273.2168,26510.24609,23966.96875,26481.96289,24582.92969,27907.49609,24426.04297,25011.74414,27832.37695,26881.60547,26866.21875,29342.02148
