W8AUB2	GO:0004623; GO:0005576; GO:0006644; GO:0050482
W8BPJ3	GO:0005509
W8BXJ9	GO:0005743; GO:0006850; GO:0016021
W8AVW2	GO:0016787
W8ABT6	GO:0005198; GO:0005856
W8AQZ3	GO:0030246
W8BHY6	GO:0005739; GO:0008033
W8BUY5	GO:0005047; GO:0005786; GO:0006614; GO:0008312; GO:0030942
W8BQA5	GO:0005622; GO:0006886
W8CAW4	GO:0003743
W8AVY3	GO:0005524
W8B4W9	GO:0016021
W8B8F8	GO:0016021; GO:0022891
A0A0B4UIH5	GO:0004129; GO:0005506; GO:0005743; GO:0006119; GO:0009060; GO:0016021; GO:0020037; GO:0070469
W8BNI4	GO:0016021
W8AWC5	GO:0016021
Q3LAZ1	GO:0005524; GO:0006457; GO:0006950
W8AG64	GO:0003839; GO:0006751
W8BIN0	GO:0005216; GO:0016021
W8B3I2	GO:0004930; GO:0016021
W8C6A8	GO:0004496; GO:0005524; GO:0005737; GO:0008299; GO:0016126
W8BQ11	GO:0016491
W8BMV4	GO:0006147; GO:0008270; GO:0008892
W8BRQ5	GO:0008270; GO:0009055; GO:0020037
W8C1Q7	GO:0008137; GO:0009055; GO:0016020
W8BD06	GO:0005886; GO:0005921; GO:0006811; GO:0016021
W8B8Y6	GO:0003995; GO:0003997; GO:0005777; GO:0006635; GO:0050660
W8BVA0	GO:0003676; GO:0046872
W8BLQ7	GO:0016021; GO:0055085
W8ALK5	GO:0003677; GO:0003700
W8AN02	GO:0004222; GO:0046872
W8BFF7	GO:0016021
W8BPY3	GO:0016491
M4GSX5	GO:0004497; GO:0005506; GO:0016705; GO:0020037
W8BW50	GO:0004252; GO:0006890; GO:0016021
W8AKP4	GO:0005921; GO:0006811; GO:0016021
W8B3N6	GO:0004104
A0MS91	GO:0005739; GO:0008137; GO:0016021; GO:0042773
W8C3Z7	GO:0003676; GO:0008270
W8BDM7	GO:0005524
W8BTR8	GO:0004672; GO:0005524
W8AZ44	GO:0051301
W8BY77	GO:0005215; GO:0016021; GO:0055085
W8B047	GO:0000166; GO:0046872
W8B7P6	GO:0016079; GO:0098793; GO:1990504
W8CBI2	GO:0003676; GO:0004386; GO:0005524
W8B2Y3	GO:0006478; GO:0008476; GO:0016021
W8BDM8	GO:0006915; GO:0008270; GO:0016874; GO:0046328
W8BQK5	GO:0005975; GO:0016853; GO:0030246
