A2RUV4	GO:0005856; GO:0005737; GO:0030659; GO:0005096; GO:0007165; GO:0016020; GO:0030054; GO:0031410; GO:0000139; GO:0005794; GO:0051645; GO:0043547
A2RUV5	GO:0000166; GO:0051321; GO:0004386; GO:0016787; GO:0005524; GO:0003676; GO:0000712
A2TED3	GO:0003677; GO:0003700; GO:0007275; GO:0006351; GO:0006355; GO:0007399; GO:0005634; GO:0051091
A2VCU8	GO:0005509; GO:0005576; GO:0016310; GO:0016301; GO:0005515; GO:0005737; GO:0005615; GO:0016020; GO:0030425; GO:0070207; GO:0005080; GO:0042802; GO:0008201; GO:0043204; GO:0070050; GO:0040008
A2VCV0	GO:0016020; GO:0004872
A3KN95	GO:0016020; GO:0016021
A4IGI5	GO:0005778; GO:0016020; GO:0016021; GO:0031410; GO:0016023; GO:0005777
A4IGI7	GO:0005856; GO:0045296; GO:0007409; GO:0005913; GO:0005737; GO:0005912; GO:0051015; GO:0016020; GO:0030154; GO:0015629; GO:0051823; GO:0016337; GO:0030424; GO:0007275; GO:0007155; GO:0030054; GO:0048813; GO:0005198; GO:0048854; GO:0042995; GO:0005634; GO:0005886; GO:0051149; GO:0005829; GO:0030027; GO:0016323; GO:0005200; GO:0005515; GO:0060134; GO:0021942
A4IGK3	GO:0003677; GO:0003700; GO:0045893; GO:0006351; GO:0006355; GO:0045600; GO:0046326; GO:0030154; GO:0043565; GO:0005634; GO:0046889
A4IGK4	GO:0000166; GO:0003723; GO:0043065; GO:0046872; GO:0000381; GO:0003729; GO:0008270; GO:0008380; GO:0005681; GO:0042981; GO:0006397; GO:0005634; GO:0000245; GO:0003676; GO:0000398; GO:0003677; GO:0005515; GO:0006915; GO:0006396; GO:0008285; GO:0005654; GO:0044822
A4IGL3	GO:0005768; GO:0031901; GO:0030659; GO:0016020; GO:0016021; GO:0033116; GO:0031410; GO:0055037; GO:0016023; GO:0055038; GO:0010008; GO:0030425; GO:0032590; GO:0032584; GO:0042995; GO:0005886
A4IGL7	GO:0006979; GO:0004601; GO:0016491; GO:0046872; GO:0020037; GO:0055114; GO:0098869; GO:0005576; GO:0042744; GO:0070062; GO:0005615; GO:0030198; GO:0005201; GO:0031012; GO:0005783
A4IGM4	GO:0016491; GO:0055114; GO:0005576
A4IGM9	GO:0031616; GO:0051225; GO:0004712; GO:0051301; GO:0046872; GO:0032466; GO:0032467; GO:0034501; GO:0034644; GO:0032465; GO:0016740; GO:0016301; GO:0031577; GO:0035174; GO:0007067; GO:0035175; GO:0036089; GO:0007049; GO:0004672; GO:0000775; GO:0004674; GO:0043988; GO:0005524; GO:0043987; GO:0000122; GO:0000166; GO:0051256; GO:0009838; GO:0000780; GO:0051233; GO:0002903; GO:0030496; GO:0016310; GO:0007052; GO:0032133; GO:0007059; GO:0005694; GO:0000785; GO:0005876; GO:0005634; GO:0006468; GO:0005515
A4IGN8	GO:0090090; GO:0008013; GO:0060828; GO:0016020; GO:0016055; GO:0048856; GO:0007398; GO:0008289; GO:0005546; GO:0005886
A4IGP0	GO:0006606; GO:0005737; GO:0005829; GO:0015031; GO:0008565; GO:0034605; GO:0006810; GO:0030544; GO:0005634; GO:0005622; GO:0070062; GO:0030054; GO:1900034; GO:0005654
A4IGQ8	GO:0003677; GO:0008270; GO:0006351; GO:0046872; GO:0006355; GO:0005634; GO:0003676; GO:0005737; GO:0005654; GO:0045171
A4IGU3	GO:0005737; GO:0018022; GO:0016740; GO:0008168; GO:0016279; GO:0032259; GO:0006479; GO:0016020; GO:0016021; GO:0030544; GO:0051117
A4IGU9	GO:0007275; GO:0030154; GO:0001708; GO:0031017
A4IGV6	GO:0005737; GO:0030030; GO:0070121; GO:0015031; GO:0005929; GO:0035869; GO:0060271; GO:0006810; GO:0042995
A4IGY3	GO:0005737; GO:0046872; GO:0005634; GO:0005515; GO:0019221; GO:0044822; GO:0005730
A4IGY6	GO:0006829; GO:0046873; GO:0016020; GO:0016021; GO:0030001; GO:0071577; GO:0071578; GO:0055085; GO:0005385; GO:0006882; GO:0006810; GO:0006811; GO:0005887; GO:0005886; GO:0006470; GO:0004721; GO:0016787; GO:0003676; GO:0006826; GO:0015684; GO:1903874; GO:0005783; GO:0005794; GO:0015093
A4IGY9	GO:0003677; GO:0051567; GO:0051301; GO:0046872; GO:0045892; GO:0001947; GO:0018024; GO:0070986; GO:0016740; GO:0034968; GO:0032259; GO:0016568; GO:0008270; GO:0007275; GO:0007067; GO:0007059; GO:0005694; GO:0007049; GO:0008168; GO:0046974; GO:0005634
A4IGZ4	GO:0005737; GO:0005844; GO:0031417; GO:0043066; GO:0005634; GO:0005515
A4IH17	GO:0001822; GO:0045861; GO:0006915; GO:0005829; GO:0043022; GO:0030324; GO:0016568; GO:0007283; GO:0031593; GO:0042771; GO:0007420; GO:0006810; GO:0006511; GO:0018393; GO:0005737; GO:0070059; GO:0032435; GO:0050821; GO:0071818; GO:0009790; GO:0071816; GO:0070628; GO:0007130; GO:0042981; GO:0005634; GO:0051787; GO:0016020; GO:0043066; GO:0030544; GO:1904294; GO:1990381; GO:0031625; GO:0043231; GO:1904378; GO:0005654
A4IH24	GO:0005856; GO:0005737; GO:0051301; GO:0007067; GO:0032147; GO:0007049; GO:0005819; GO:0000922; GO:0060236; GO:0005874; GO:0005634
A4IH36	GO:0005179; GO:0046324; GO:0005576; GO:0010906; GO:0051897; GO:0035774; GO:0005615; GO:0045721; GO:0046326; GO:0050728; GO:0046628
A4IH46	GO:0016020; GO:0016021; GO:0006810
A4IH61	GO:0000166; GO:0005737; GO:0004515; GO:0034628; GO:0019363; GO:0003824; GO:0016740; GO:0016779; GO:0009058; GO:0000309; GO:0009435; GO:0005794; GO:0005524; GO:0005802; GO:0005770; GO:0045202; GO:0019674; GO:0000139
A4IH68	GO:0000166; GO:0004140; GO:0015937; GO:0016310; GO:0005524; GO:0005739; GO:0016020; GO:0016021; GO:0016301
A4IH75	GO:0006914; GO:0000045; GO:0005737; GO:0000407; GO:0042802; GO:0032403
A4IH82	GO:0005737; GO:0061099; GO:0017124; GO:0004860; GO:0035556; GO:0005622
A4IH88	GO:0016020; GO:0016021
A4IHA1	GO:0005737; GO:0001558; GO:0016020; GO:0005829; GO:0006508; GO:0016787; GO:0019838; GO:0008233; GO:0004252; GO:0008236; GO:0005520; GO:0005576; GO:0005886; GO:0030514; GO:0070062; GO:0060718; GO:0031012; GO:0030512; GO:0001890
A4IHB9	GO:0006814; GO:0006812; GO:0031966; GO:0005739; GO:0016020; GO:0016021; GO:0055085; GO:0015299; GO:0015992; GO:0015297; GO:1902600; GO:0006810; GO:0006811
A4IHD1	GO:0016020; GO:0016021
A4IHD2	GO:0003677; GO:0000166; GO:0004386; GO:0005524; GO:0005634; GO:0016787
A4IHD9	GO:0006351; GO:0060021; GO:0006355; GO:0005634
A4IHF8	GO:0030317; GO:0021670; GO:0007283; GO:0060972; GO:0021591; GO:0003351; GO:0021678; GO:0007368; GO:0005634
A4IHH4	GO:0005739; GO:0016020; GO:0016021; GO:0005743
A4IHK6	GO:0055085; GO:0015179; GO:0016020; GO:0016021; GO:0015175; GO:1902475; GO:0015807; GO:0015804; GO:0006810; GO:0006865; GO:0005887; GO:0005886
