Uniprot,log2FC
F8VPM7,-0.112335455
E9Q6B6,-0.112343439
E0CZ53,-0.115618552
E9Q0A7,-0.116088584
E9Q1U6,-0.116962132
A2API8,-0.119565349
B1AUD6,-0.11959475
A2BDX0,-0.11974889
D0QMC3,-0.120546405
Q5XK38,-0.120820405
E9Q2P6,-0.121171659
A6H6A9,-0.121350775
E9Q2W8,-0.123934285
E0CY63,-0.124041748
A2CG76,-0.124446642
E9PY42,-0.12499755
E0CZ78,-0.128006701
F8VQ75,-0.129394464
F8VPR5,-0.131369509
Q99LA2,-0.133526543
D6RET6,-0.135468258
A2A5K2,-0.136065239
E0CZ72,-0.138367267
B1AVZ0,-0.139003306
B1AV75,-0.139192631
A2A9P2,-0.140109112
F8VQK5,-0.141272971
F7CGC9,-0.142545255
D3Z5F9,-0.142865697
J3KMS9,-0.143300104
D3YWJ5,-0.143340771
A2AFF6,-0.145759328
E9Q2E4,-0.146697422
A2A6M1,-0.14858288
A3KGS3-2,-0.148725519
D3Z1B6,-0.150939696
Q91X70,-0.151831215
F6ZXS5,-0.152776315
E9QN68,-0.153176346
B1AXU3,-0.153208125
A2AA86,-0.153491843
B2RQC7,-0.153595154
D3Z061,-0.154469558
H3BKS8,-0.154490174
E9QKR1,-0.155847719
D3Z3J6,-0.155927673
E9Q4Q2,-0.158450039
E9PUB7,-0.159089181
A2A4L0,-0.161755994
E9Q7E9,-0.163318225
F6THK7,-0.16406833
A2AB59-2,-0.164736254
D3Z7B3,-0.165733195
E9Q4P0,-0.167164736
E9QJS1,-0.16757612
F8WJB9,-0.168594604
E9QJT3,-0.168629174
Q6W4W7,-0.169850923
F6VG18,-0.169922914
B7ZNX6,-0.170421951
B1APX2,-0.172304407
A2AQJ8,-0.172459657
E9PX48,-0.174620904
D6RFU3,-0.175805036
D3Z7D0,-0.176347876
A2ADB1,-0.178234879
E9QP49,-0.180033712
F2Z3W4,-0.180082169
A3KGB4,-0.180120278
F8WJ93,-0.180307151
E9QP99,-0.180507404
F2Z3Z9,-0.180731846
F7B7X2,-0.182290262
D3Z4V1,-0.18499228
E9QNQ4,-0.185103335
Q3UR39,-0.18512532
A2APV2-3,-0.188287979
A3KGT2,-0.190105156
E9Q9M5,-0.191376541
A2AP74,-0.192405123
B7ZN28,-0.19241127
E9QLU9,-0.192921995
A2A4P3,-0.19390701
Q3TZ02,-0.195946875
A2AJ15,-0.197627542
A2AJI1,-0.201414542
F8VQF9,-0.202586045
E0CYH4,-0.203749181
G3X8X0,-0.204106162
D3Z3Q3,-0.205844233
E9PV45,-0.206168137
E9PZP8,-0.206751228
D3YWJ9,-0.207033285
E9QAS4,-0.207153721
D3YYN3,-0.208653875
F6RN19,-0.208675538
E9QAT0,-0.209272528
F8WIA1,-0.209672272
H3BIW0,-0.212079581
F7CC56,-0.214395146
F6VJI5,-0.214952976
E0CZF6,-0.215739673
E9PYT0,-0.21624043
F8WJ43,-0.217443441
F8WHP5,-0.217979841
A2AQ43,-0.218483064
F6T9K1,-0.219332902
A2ASC6,-0.22162445
F8WGM5,-0.221914678
A2AE27,-0.221986388
E9PWI6,-0.222104872
D3Z315,-0.222116903
B0QZT2,-0.222194238
A2RSJ4,-0.222371851
E9Q688,-0.222774278
D3Z5G7,-0.223140782
D3YW20,-0.22329343
E9QP46,-0.223668491
A6PW28,-0.225295863
F8VPR1,-0.228397312
B9EJ54,-0.231841379
A2AKD7,-0.232582764
Q0VF62,-0.232905174
F6UIT9,-0.235824904
G3UYA1,-0.237199328
A2A6H1,-0.237304682
B1ATS5,-0.237469639
A2AVJ7,-0.238357593
E9Q1L7,-0.238907115
F6Z458,-0.239695475
E9PU92,-0.239719445
F2Z3X0,-0.23984425
G3X924,-0.240009866
A2AHJ7,-0.241806907
B1AT82,-0.241997477
E9PZK7,-0.243548692
F7C0A6,-0.244433794
E9PYB0,-0.245864446
E9QPN7,-0.24587198
E9Q1Y3,-0.24700435
E9PYG6,-0.247634852
E9PXY1,-0.247719002
G3UYZ7,-0.248154928
A2AGS6,-0.250175699
E9Q446,-0.251417673
E9Q8D5,-0.251497255
D3YY23,-0.251541741
D3YZ62,-0.25258215
D6REH1,-0.253691842
F7BP55,-0.253904684
G3UYD5,-0.253947838
A4QPC5,-0.254545166
E9QK82,-0.255131751
G3X9N6,-0.255281703
E9PUK2,-0.256116939
A2AJW4,-0.257329065
Q6NS79,-0.257648426
F8WJI3,-0.258319495
D3YV00,-0.258471475
E9PYJ6,-0.259600457
E9Q8N5,-0.25978205
F7CJY7,-0.260064778
F8WHU7,-0.261443457
B1AZI6,-0.262146923
A2A9Q2,-0.262165256
G3X9N1,-0.263309268
E9QQ10,-0.263341423
A2A8U2-2,-0.264029571
D3YWT1,-0.265471079
E9PZ92,-0.265973615
A2A9P6,-0.26797072
G3X9D6,-0.268343494
S4R2J8,-0.271478649
F6UI76,-0.272653431
F6TCF9,-0.272953637
Q80YS4,-0.272963034
F6U8X4,-0.274313293
D6RCW8,-0.275258338
F6RC04,-0.276679931
E9PY16,-0.277327103
A6X8Z3,-0.278143806
A2AFQ0,-0.279638196
B2RSU6,-0.280204433
B0QZN5,-0.283200984
E9Q512,-0.283207042
G3X9K3,-0.283228229
D3Z0V2,-0.284134782
A2ARP1-3,-0.286917632
F7BGR7,-0.287316849
D3YXS7,-0.288097379
E9Q6U4,-0.288952949
F8WIT2,-0.289230707
A2ATI9,-0.289277797
Q8C4G3,-0.291731118
E9Q7U2,-0.293382315
D3Z0M9,-0.293414723
G3X956,-0.294686332
E9QM90,-0.295324992
A2AJ88-2,-0.29586537
F8WJD4,-0.296384916
Q91WX5,-0.296761656
F6QA74,-0.299845956
E9Q1T3,-0.300143647
E9PYF4,-0.301927823
D3YUJ1,-0.302338132
E9PXY8,-0.303413797
A2AQ53,-0.303606824
E9Q421,-0.304620088
E9QAH1,-0.310668831
D3Z481,-0.31191982
D3YZ89,-0.312006311
D3Z600,-0.31365991
D3YUB9,-0.313693967
E9QNG1,-0.313864627
E9QAE3,-0.315082874
F8VPK5,-0.316350364
A2AKI5,-0.316856525
F8VQC7,-0.3175758
E9PXD2,-0.319726036
G3X9H5,-0.321076068
E9Q3S2,-0.321745083
E9PUQ8,-0.32325407
D3Z108,-0.323288401
E9Q3E1,-0.324192536
B1AX95,-0.325982156
E9QQ99,-0.326158148
E9Q9C3,-0.326800818
J3QP81,-0.32855491
A2A6J4,-0.329974172
F7BJK1,-0.330565334
E9QAU4,-0.331216304
B1ATZ0,-0.331298745
Q5SXG1,-0.332383164
G3UY75,-0.332925284
G3X977,-0.334058699
E9PUW7,-0.334841812
A2AQE2,-0.335353925
G3X922,-0.335520386
D3Z619,-0.336170982
Q8VCQ8,-0.336840399
H3BJC9,-0.337887301
B1AUY8,-0.338349875
E9Q5C9,-0.339889453
E0CYN0,-0.340419526
Q7M739,-0.342223797
G3X8W7,-0.344754167
A6H630-2,-0.345805126
F8WHM5,-0.346060892
F8VQ52,-0.346806053
E9QA63,-0.348659249
F8WIV2,-0.348783182
E9QN52,-0.351613234
F8WGT1,-0.353804211
E9Q6A6,-0.357565377
A6X919,-0.35900138
D3Z4X4,-0.360426537
Q8JZN1,-0.363021387
F6ZBL2,-0.3633463
B7ZWL1,-0.364014047
D3YUE4,-0.365360769
E9Q5F9-2,-0.365471647
F6TQW2,-0.365981166
Q149B8-2,-0.366824342
D3Z656,-0.369677438
A2AI52,-0.370063738
G3X972,-0.37058037
A2ALF0,-0.370891069
A2ARP8,-0.372239516
E9QN01,-0.372494655
E9QNH7,-0.373140888
E9QAI5,-0.373158616
E9PZ21,-0.374852984
E9Q3U1,-0.374881856
E9PWE8,-0.375878804
Q9CPN7,-0.376025775
E9QJT5,-0.376783502
D3YWR7,-0.377156684
E9PWV3,-0.377678962
Q8BR75,-0.378163554
D3YU22,-0.380939731
D3Z7A7,-0.381088649
E9QL65,-0.383904408
F7BBA2,-0.384280175
G3X8X7,-0.386037838
A2ATP5,-0.386579515
F6SDD7,-0.388564983
B7ZC18,-0.388667957
A2AUK8,-0.39014526
A2AHQ7,-0.390280475
B8JJE0,-0.391396723
E0CYB9,-0.394624969
F6V3Y9,-0.395058909
F6RK07,-0.395400888
E9QLA5,-0.39732631
E9QKX5,-0.397373571
F6QFE9,-0.398099728
E9PXG9,-0.399732571
F6VQH5,-0.400353854
A1L3P4,-0.400546
A2AWA9,-0.400711774
F8WI56,-0.405251701
Q3UIX4,-0.405264234
D3YVW2,-0.407322733
F8WIE5,-0.407436157
G3UY39,-0.407851272
Q5UE59,-0.409694381
D3Z442,-0.411239559
E9QAQ3,-0.41191837
E9PUK3,-0.4127254
E9Q509,-0.412785876
D3YWD3,-0.414368305
D3YU12,-0.416456121
E9Q4B9,-0.418458491
D3Z607,-0.418646553
F7AA26,-0.420122321
E9QMR2,-0.420322825
A2AJ72,-0.420359002
A2AJY2,-0.421032502
A2AUM6,-0.421086487
E9PUQ9,-0.421286081
E9Q2A6,-0.423879258
E9Q3I4,-0.424057362
S4R1M2,-0.425523933
F8WHQ0,-0.425657831
F8WHW6,-0.426302424
D3YWR1,-0.426829331
D6RG99,-0.428040661
E9Q5D6,-0.42906343
A2AMI2,-0.429377488
F6QHF1,-0.43120643
D3YZS0,-0.431708792
D3Z7P0,-0.431845754
D3Z3G5,-0.431888426
E9Q616,-0.432305066
D3YTZ9,-0.433117459
E9Q7L0,-0.433451632
E9PUF7,-0.434462588
G3X983,-0.436028853
A2BG76,-0.436902897
E9PXX7,-0.43919678
G3X9T8,-0.440454718
A2AAN0,-0.440643356
B1AXN9,-0.441422703
G3X8T9,-0.441462434
D3Z1H9,-0.44421956
F6XWB2,-0.445310676
F7BWT7,-0.445529115
B8JK56,-0.445603194
D3Z7X0,-0.447225455
B1ART1,-0.447250602
G3X987,-0.447286024
E9PW66,-0.448969782
F7BIK4,-0.449570707
E9QKT1,-0.451213529
E9PWG2,-0.453712286
A2AC02,-0.454244218
F8VPL5,-0.455763259
D3YUS5,-0.458739445
E9PVS5,-0.459099401
A3KGU5,-0.459978143
B1B1A7,-0.460324646
D3Z780,-0.462548621
E9QAJ9,-0.46358356
A2A4A6,-0.464329234
A2AL49,-0.464580049
Q8BVZ1,-0.465605935
G3UZ60,-0.465969294
F6WYQ5,-0.467057128
F6TVP2,-0.468440281
E9Q8I9,-0.468514349
D3Z7Q2,-0.468864722
A2A5Y6,-0.469645549
E9QM38,-0.470463052
A2A9I0,-0.47075883
F7A6H4,-0.47285881
E9PUQ5,-0.473275787
E9QPX1,-0.474538613
D3YTP3,-0.474543569
G3X928,-0.474635907
D3Z4S3,-0.474929224
F7B276,-0.475243096
E9QLB8,-0.475851548
D3YZ98,-0.476327735
B2ZRS5,-0.476366553
E9QLQ3,-0.477292355
K3W4R5,-0.477554102
F6WKE4,-0.478117556
B1AUB9,-0.47829143
E9Q3Y4,-0.480272366
E9Q1F5,-0.48050476
A2AKW0,-0.480762432
E9PZY8,-0.481722638
G3UZ63,-0.482119222
G3UZ26,-0.483343975
E9QM77,-0.483869333
F6Q8D3,-0.485145998
D3YYR5,-0.485891558
A2A7A7,-0.486470605
E9PVA8,-0.486947016
F6XXP5,-0.488974299
E9QAD1,-0.489111718
D3Z5A9,-0.489483808
A6H6E2,-0.489737391
G3UWC2,-0.49188406
E9Q179,-0.492876018
D3Z3D2,-0.493204413
A2ACM0,-0.494820541
E9Q4K7,-0.496145624
D3Z6W5,-0.49871741
D3YZ54,-0.502366478
E9Q242,-0.503260589
F8VQN6,-0.50386401
A2AS05,-0.50405501
E9PUR6,-0.504332174
F6YL81,-0.504647355
A2AEM2,-0.505175568
E9PWK7,-0.50760696
G3UYJ7,-0.509212619
D3Z7C0,-0.510195669
